first_name,last_name,birth_year,birth_country,id,edited_first,edited_last
Karl,Rhodes,1968.0,USA,rhodeka01,karl,rhodes
Kevin,Rhomberg,1955.0,USA,rhombke01,kevin,rhomberg
Will,Rhymes,1983.0,USA,rhymewi01,will,rhymes
Hal,Rhyne,1899.0,USA,rhyneha01,hal,rhyne
Orlando,Ribalta,1998.0,Cuba,ribalor01,orlando,ribalta
Dennis,Ribant,1941.0,USA,ribande01,dennis,ribant
Frank,Riccelli,1953.0,USA,riccefr01,frank,riccelli
Chuck,Ricci,1968.0,USA,riccich01,chuck,ricci
Ben,Rice,1999.0,USA,ricebe01,ben,rice
Bob,Rice,1899.0,USA,ricebo01,bob,rice
Del,Rice,1922.0,USA,ricede01,del,rice
Hal,Rice,1924.0,USA,riceha02,hal,rice
Harry,Rice,1901.0,USA,riceha01,harry,rice
Jim,Rice,1953.0,USA,riceji01,jim,rice
Len,Rice,1918.0,USA,ricele01,len,rice
Pat,Rice,1963.0,USA,ricepa01,pat,rice
Sam,Rice,1890.0,USA,ricesa01,sam,rice
Scott,Rice,1981.0,USA,ricesc01,scott,rice
Woody,Rich,1916.0,USA,richwo01,woody,rich
Danny,Richar,1983.0,D.R.,richada02,danny,richar
Chris,Richard,1974.0,USA,richach01,chris,richard
Clayton,Richard,1983.0,USA,richacl01,clayton,richard
J. R.,Richard,1950.0,USA,richajr01,j. r.,richard
Lee,Richard,1948.0,USA,richale01,lee,richard
Duane,Richards,1936.0,USA,richadu01,duane,richards
Fred,Richards,1927.0,USA,richafr01,fred,richards
Garrett,Richards,1988.0,USA,richaga01,garrett,richards
Gene,Richards,1953.0,USA,richage01,gene,richards
Paul,Richards,1908.0,USA,richapa01,paul,richards
Rusty,Richards,1965.0,USA,richaru01,rusty,richards
Trevor,Richards,1993.0,USA,richatr01,trevor,richards
Antoan,Richardson,1983.0,Bahamas,richaan01,antoan,richardson
Bill,Richardson,1878.0,USA,richabi01,bill,richardson
Bobby,Richardson,1935.0,USA,richabo01,bobby,richardson
Danny,Richardson,1863.0,USA,richada01,danny,richardson
Dustin,Richardson,1984.0,USA,richadu02,dustin,richardson
Gordie,Richardson,1938.0,USA,richago01,gordie,richardson
Hardy,Richardson,1855.0,USA,richaha01,hardy,richardson
Jack,Richardson,1892.0,USA,richaja01,jack,richardson
Jeff,Richardson,1965.0,USA,richaje01,jeff,richardson
Jeff,Richardson,1963.0,USA,richaje02,jeff,richardson
Ken,Richardson,1915.0,USA,richake01,ken,richardson
Kevin,Richardson,1980.0,USA,richake02,kevin,richardson
Lyon,Richardson,2000.0,USA,richaly01,lyon,richardson
Nolen,Richardson,1903.0,USA,richano01,nolen,richardson
Tom,Richardson,1883.0,USA,richato01,tom,richardson
Mike,Richardt,1958.0,USA,richami01,mike,richardt
Lance,Richbourg,1897.0,USA,richbla01,lance,richbourg
Pete,Richert,1939.0,USA,richepe01,pete,richert
Lew,Richie,1883.0,USA,richile01,lew,richie
Rob,Richie,1965.0,USA,richiro01,rob,richie
Beryl,Richmond,1907.0,USA,richmbe01,beryl,richmond
Don,Richmond,1919.0,USA,richmdo01,don,richmond
John,Richmond,1855.0,USA,richmjo01,john,richmond
Lee,Richmond,1857.0,USA,richmle01,lee,richmond
Ray,Richmond,1896.0,USA,richmra01,ray,richmond
Scott,Richmond,1979.0,CAN,richmsc01,scott,richmond
Al,Richter,1927.0,USA,richtal01,al,richter
John,Richter,1873.0,USA,richtjo01,john,richter
Reggie,Richter,1888.0,Germany,richtre01,reggie,richter
Joey,Rickard,1991.0,USA,rickajo01,joey,rickard
Joe,Rickert,1873.0,USA,rickejo01,joe,rickert
Marv,Rickert,1921.0,USA,rickema01,marv,rickert
Dave,Ricketts,1935.0,USA,rickeda01,dave,ricketts
Dick,Ricketts,1933.0,USA,rickedi01,dick,ricketts
Branch,Rickey,1881.0,USA,rickebr01,branch,rickey
Chris,Rickley,1859.0,USA,ricklch01,chris,rickley
John,Ricks,1867.0,USA,ricksjo01,john,ricks
Art,Rico,1895.0,USA,ricoar01,art,rico
Fred,Rico,1944.0,USA,ricofr01,fred,rico
Harry,Riconda,1897.0,USA,riconha01,harry,riconda
Elmer,Riddle,1914.0,USA,riddlel01,elmer,riddle
John,Riddle,1864.0,USA,riddljo01,john,riddle
Johnny,Riddle,1905.0,USA,riddljo02,johnny,riddle
JT,Riddle,1991.0,USA,riddljt01,jt,riddle
Denny,Riddleberger,1945.0,USA,riddlde01,denny,riddleberger
Dorsey,Riddlemoser,1875.0,USA,riddldo01,dorsey,riddlemoser
Greg,Riddoch,1945.0,USA,riddogr99,greg,riddoch
Jack,Ridgway,1888.0,USA,ridgwja01,jack,ridgway
Jeff,Ridgway,1980.0,USA,ridgwje01,jeff,ridgway
Stephen,Ridings,1995.0,USA,ridinst01,stephen,ridings
Steve,Ridzik,1929.0,USA,ridzist01,steve,ridzik
Hank,Riebe,1921.0,USA,riebeha01,hank,riebe
John,Riedling,1975.0,USA,riedljo01,john,riedling
C. J.,Riefenhauser,1990.0,USA,riefecj01,c. j.,riefenhauser
Elmer,Rieger,1889.0,USA,riegeel01,elmer,rieger
Andre,Rienzo,1988.0,Brazil,rienzan01,andre,rienzo
Nikco,Riesgo,1967.0,USA,riesgni01,nikco,riesgo
Brad,Rigby,1973.0,USA,rigbybr01,brad,rigby
Paul,Rigdon,1975.0,USA,rigdopa01,paul,rigdon
Jerrod,Riggan,1974.0,USA,riggaje01,jerrod,riggan
Shawn,Riggans,1980.0,USA,riggash01,shawn,riggans
Joe,Riggert,1886.0,USA,riggejo01,joe,riggert
Jim,Riggleman,1952.0,USA,rigglji99,jim,riggleman
Adam,Riggs,1972.0,USA,riggsad01,adam,riggs
Lew,Riggs,1910.0,USA,riggsle01,lew,riggs
Dave,Righetti,1958.0,USA,righeda01,dave,righetti
Ron,Rightnowar,1964.0,USA,rightro01,ron,rightnowar
Cy,Rigler,1882.0,USA,riglecy99,cy,rigler
Bill,Rigney,1918.0,USA,rignebi01,bill,rigney
Johnny,Rigney,1914.0,USA,rignejo01,johnny,rigney
Topper,Rigney,1897.0,USA,rigneto01,topper,rigney
Jose,Rijo,1965.0,D.R.,rijojo01,jose,rijo
Culley,Rikard,1914.0,USA,rikarcu01,culley,rikard
Ernie,Riles,1960.0,USA,rileser01,ernie,riles
Austin,Riley,1997.0,USA,rileyau01,austin,riley
Billy,Riley,1855.0,USA,rileybi01,billy,riley
George,Riley,1956.0,USA,rileyge01,george,riley
Jim,Riley,1886.0,USA,rileyji01,jim,riley
Jim,Riley,1895.0,CAN,rileyji02,jim,riley
Lee,Riley,1906.0,USA,rileyle01,lee,riley
Matt,Riley,1979.0,USA,rileyma01,matt,riley
Andy,Rincon,1959.0,USA,rincoan01,andy,rincon
Juan,Rincon,1979.0,Venezuela,rincoju01,juan,rincon
Ricardo,Rincon,1970.0,Mexico,rincori01,ricardo,rincon
Jeff,Rineer,1955.0,USA,rineeje01,jeff,rineer
Jimmy,Ring,1895.0,USA,ringji01,jimmy,ring
Royce,Ring,1980.0,USA,ringro01,royce,ring
Frank,Ringo,1862.0,USA,ringofr01,frank,ringo
Bob,Rinker,1921.0,USA,rinkebo01,bob,rinker
Alex,Rios,1981.0,USA,riosal01,alex,rios
Armando,Rios,1971.0,P.R.,riosar01,armando,rios
Danny,Rios,1972.0,Spain,riosda01,danny,rios
Edwin,Rios,1994.0,P.R.,riosed01,edwin,rios
Juan,Rios,1942.0,P.R.,riosju01,juan,rios
Yacksel,Rios,1993.0,P.R.,riosya01,yacksel,rios
Billy,Ripken,1964.0,USA,ripkebi01,billy,ripken
Cal,Ripken,1960.0,USA,ripkeca01,cal,ripken
Cal,Ripken,1935.0,USA,ripkeca99,cal,ripken
Allen,Ripley,1952.0,USA,ripleal01,allen,ripley
Walt,Ripley,1916.0,USA,riplewa01,walt,ripley
Ray,Rippelmeyer,1933.0,USA,rippera01,ray,rippelmeyer
Charlie,Ripple,1920.0,USA,ripplch01,charlie,ripple
Jimmy,Ripple,1909.0,USA,ripplji01,jimmy,ripple
Swede,Risberg,1894.0,USA,risbesw01,swede,risberg
Pop,Rising,1877.0,USA,risinpo01,pop,rising
David,Riske,1976.0,USA,riskeda01,david,riske
Bill,Risley,1967.0,USA,rislebi01,bill,risley
Claude,Ritchey,1873.0,USA,ritchcl01,claude,ritchey
Jay,Ritchie,1936.0,USA,ritchja01,jay,ritchie
Todd,Ritchie,1971.0,USA,ritchto01,todd,ritchie
Wally,Ritchie,1965.0,USA,ritchwa01,wally,ritchie
Floyd,Ritter,1869.0,USA,rittefl01,floyd,ritter
Hank,Ritter,1893.0,USA,ritteha01,hank,ritter
Lew,Ritter,1875.0,USA,rittele01,lew,ritter
Reggie,Ritter,1960.0,USA,rittere01,reggie,ritter
Whitey,Ritterson,1855.0,USA,rittewh01,whitey,ritterson
Jim,Rittwage,1944.0,USA,rittwji01,jim,rittwage
Jim,Ritz,1874.0,USA,ritzji01,jim,ritz
Kevin,Ritz,1965.0,USA,ritzke01,kevin,ritz
Alfonso,Rivas,1996.0,USA,rivasal01,alfonso,rivas
Leo,Rivas,1997.0,Venezuela,rivasle01,leo,rivas
Luis,Rivas,1979.0,Venezuela,rivaslu01,luis,rivas
Webster,Rivas,1990.0,D.R.,rivaswe01,webster,rivas
Ben,Rivera,1968.0,D.R.,riverbe01,ben,rivera
Bombo,Rivera,1952.0,P.R.,riverbo01,bombo,rivera
Carlos,Rivera,1978.0,P.R.,riverca01,carlos,rivera
Emmanuel,Rivera,1996.0,P.R.,riverem01,emmanuel,rivera
German,Rivera,1960.0,P.R.,riverge01,german,rivera
Jim,Rivera,1921.0,USA,riverji01,jim,rivera
Juan,Rivera,1978.0,Venezuela,riverju01,juan,rivera
Luis,Rivera,1978.0,Mexico,riverlu02,luis,rivera
Luis,Rivera,1964.0,P.R.,riverlu01,luis,rivera
Mariano,Rivera,1969.0,Panama,riverma01,mariano,rivera
Mike,Rivera,1976.0,P.R.,rivermi02,mike,rivera
Rene,Rivera,1983.0,P.R.,riverre01,rene,rivera
Roberto,Rivera,1969.0,P.R.,riverro01,roberto,rivera
Ruben,Rivera,1973.0,Panama,riverru01,ruben,rivera
Saul,Rivera,1977.0,P.R.,riversa01,saul,rivera
T. J.,Rivera,1988.0,USA,rivertj01,t. j.,rivera
Yadiel,Rivera,1992.0,P.R.,riverya01,yadiel,rivera
Carlos,Rivero,1988.0,Venezuela,riverca02,carlos,rivero
Sebastian,Rivero,1998.0,Venezuela,riverse01,sebastian,rivero
Mickey,Rivers,1948.0,USA,rivermi01,mickey,rivers
Tink,Riviere,1899.0,USA,rivieti01,tink,riviere
Eppa,Rixey,1891.0,USA,rixeyep01,eppa,rixey
Anthony,Rizzo,1989.0,USA,rizzoan01,anthony,rizzo
Johnny,Rizzo,1912.0,USA,rizzojo01,johnny,rizzo
Todd,Rizzo,1971.0,USA,rizzoto01,todd,rizzo
Phil,Rizzuto,1917.0,USA,rizzuph01,phil,rizzuto
Sendy,Rleal,1980.0,D.R.,rlealse01,sendy,rleal
